messages_sent,num_periods,depth,avg_children,num_leaves,type,num_nodes
10.78048780487805,5,12,4.128205128205129,125,2,164
10.357142857142858,5,13,4.073170731707317,127,2,168
10.901162790697674,5,15,4.3076923076923075,133,2,172
10.852272727272727,5,11,4.195121951219512,135,2,176
9.911111111111111,5,12,4.214285714285714,138,2,180
12.08695652173913,7,17,4.209302325581396,141,2,184
11.0,5,17,4.133333333333334,143,2,188
10.911458333333334,5,11,4.108695652173913,146,2,192
10.89795918367347,5,17,4.239130434782608,150,2,196
11.015,5,17,4.040816326530612,151,2,200
10.926470588235293,5,18,4.229166666666667,156,2,204
10.985576923076923,5,13,4.466666666666667,163,2,208
10.56132075471698,6,14,4.224489795918367,163,2,212
10.953703703703704,5,15,4.468085106382978,169,2,216
11.045454545454545,5,19,4.037037037037037,166,2,220
10.986607142857142,5,13,4.4,174,2,224
10.991228070175438,5,16,4.185185185185185,174,2,228
10.995689655172415,5,22,4.163636363636364,177,2,232
11.021186440677965,5,19,4.178571428571429,180,2,236
11.041666666666666,5,25,4.086206896551724,182,2,240
11.049180327868852,5,23,4.327272727272727,189,2,244
11.028225806451612,5,17,4.245614035087719,191,2,248
11.206349206349206,6,15,4.186440677966102,193,2,252
11.0390625,5,18,4.147540983606557,195,2,256
9.25,4,3,1.0,1,0,4
9.25,4,3,2.0,5,0,8
10.083333333333334,4,8,1.25,4,0,12
9.1875,4,7,1.7142857142857142,9,0,16
9.4,4,4,2.4285714285714284,13,0,20
10.0,4,7,1.7272727272727273,13,0,24
10.357142857142858,4,13,1.375,12,0,28
10.53125,5,7,1.5625,16,0,32
9.916666666666666,4,10,2.0,22,0,36
10.1,4,7,1.8333333333333333,22,0,40
10.0,4,11,1.894736842105263,25,0,44
11.5,5,16,1.76,23,0,48
10.134615384615385,4,11,1.76,27,0,52
10.517857142857142,5,14,1.7777777777777777,29,0,56
10.166666666666666,5,15,1.92,35,0,60
10.328125,5,11,1.8928571428571428,36,0,64
10.323529411764707,5,15,1.9615384615384615,42,0,68
10.36111111111111,5,12,1.78125,40,0,72
11.513157894736842,5,23,1.84375,44,0,76
10.4,5,16,1.911764705882353,46,0,80
10.25,5,12,1.9705882352941178,50,0,84
12.443181818181818,5,19,1.8857142857142857,53,0,88
10.967391304347826,5,25,1.6444444444444444,47,0,92
10.583333333333334,5,26,1.6595744680851063,49,0,96
10.46,5,16,1.8478260869565217,54,0,100
12.057692307692308,5,20,1.76,54,0,104
10.944444444444445,5,23,1.7755102040816326,59,0,108
10.785714285714286,5,25,1.7407407407407407,58,0,112
10.387931034482758,5,38,1.7636363636363637,61,0,116
10.833333333333334,5,18,1.9387755102040816,71,0,120
11.733870967741936,5,17,1.8909090909090909,69,0,124
10.5390625,5,19,1.9090909090909092,73,0,128
12.643939393939394,5,22,1.8076923076923077,80,0,132
10.654411764705882,5,17,1.88135593220339,77,0,136
10.242857142857142,5,16,1.8253968253968254,77,0,140
10.791666666666666,5,25,1.8615384615384616,79,0,144
12.635135135135135,5,27,1.7575757575757576,82,0,148
11.06578947368421,5,33,1.7536231884057971,83,0,152
11.173076923076923,5,21,1.9076923076923078,91,0,156
12.475,5,33,1.8289473684210527,84,0,160
10.99390243902439,5,26,1.6582278481012658,85,0,164
11.797619047619047,5,23,1.8611111111111112,96,0,168
12.534883720930232,5,24,1.735632183908046,85,0,172
12.517045454545455,5,22,1.7857142857142858,92,0,176
10.688888888888888,5,22,1.7625,100,0,180
12.782608695652174,5,25,1.7241379310344827,97,0,184
12.72340425531915,5,26,1.6701030927835052,91,0,188
11.666666666666666,5,29,1.6666666666666667,90,0,192
12.66326530612245,5,17,1.7777777777777777,106,0,196
12.675,5,29,1.7473684210526317,105,0,200
12.495098039215685,5,15,1.891304347826087,112,0,204
12.8125,5,29,1.6923076923076923,104,0,208
12.221698113207546,6,60,1.7395833333333333,116,0,212
12.819444444444445,5,47,1.651376146788991,107,0,216
12.827272727272728,5,33,1.6785714285714286,108,0,220
11.433035714285714,5,20,1.8888888888888888,125,0,224
12.671052631578947,5,41,1.7777777777777777,120,0,228
